web-scraper-order,web-scraper-start-url,link,link-href,brand,product_name,category,price,rating,number_of_reviews,number_of_recommendations,repurchase_yes,repurchase_no,repurchase_maybe,repurchase_yes_num,repurchase_no_num,rating_imputed_mean,rating_imputed_median,number_of_recommendations_imputed_mean,number_of_recommendations_imputed_median,repurchase_yes_num_imputed_mean,repurchase_yes_num_imputed_median,repurchase_no_num_imputed_mean,repurchase_no_num_imputed_median
1639358502-1878,https://www.sociolla.com/146-face?page=22,,https://www.sociolla.com/liquid-foundation/15372-lng-water-glow-gel-foundation-ol19,Laneige,LNG Water Glow Gel Foundation (OL19),LNG Water Glow Gel Foundation (OL19),Rp 560.000Rp 408.000,5.0,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,5.0,4.6,1.0,2.0,1.0,1.0,0.0,0.0
1639358120-1828,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/concealer/9929-boi-ing-industrial-strength,Benefit Cosmetics,Boi-ing Industrial Strength,Boi-ing Industrial Strength,,4.1,(3),3.0,Yes (2),No (1),Maybe (0),2.0,1.0,4.1,4.2,3.0,3.0,2.0,2.0,1.0,1.0
1639358220-1840,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/foundation/16455-bb-cushion,Silkygirl,BB Cushion,BB Cushion,,4.2,(63),54.0,Yes (33),No (13),Maybe (17),33.0,13.0,4.2,4.2,54.0,54.0,33.0,33.0,13.0,13.0
1639358595-1895,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/cake-foundation/16015-magic-cushion-cover-lasting-special-set-2323rpuff,Missha,Magic Cushion Cover Lasting Special Set 23+23(R)+Puff,Magic Cushion Cover Lasting Special Set 23+23(R)+Puff,Rp 599.000Rp 299.500,4.5,(15),12.0,Yes (8),No (2),Maybe (5),8.0,2.0,4.5,4.5,12.0,12.0,8.0,8.0,2.0,2.0
1639358744-1920,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/concealer/25894-radiance-reveal-concealer,Bourjois,Radiance Reveal Concealer,Radiance Reveal Concealer,Rp 170.000,4.7,(2),2.0,Yes (2),No (0),Maybe (0),2.0,0.0,4.7,4.6,2.0,2.0,2.0,2.0,0.0,0.0
1639359089-1976,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/loose-powder/2394-bare-with-me-mineral-loose-powder,Emina,Bare With Me Mineral Loose Powder,Bare With Me Mineral Loose Powder,Rp 53.500,4.3,(758),665.0,Yes (372),No (135),Maybe (251),372.0,135.0,4.3,4.3,665.0,228.0,372.0,115.0,135.0,17.0
1639360339-2150,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/primer/53820-ultra-bluring-serum-primer,Saat Insight,Ultra Bluring Serum Primer,Ultra Bluring Serum Primer,Rp 285.000Rp 129.000,4.4,(5),3.0,Yes (3),No (1),Maybe (1),3.0,1.0,4.4,4.4,3.0,3.0,3.0,3.0,1.0,1.0
1639360298-2145,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/cake-foundation/53566-make-it-glow-dewy-cushion-free-refill,Pixy,Make It Glow Dewy Cushion FREE Refill,Make It Glow Dewy Cushion FREE Refill,Rp 215.000Rp 125.000,4.5,(16),8.0,Yes (13),No (2),Maybe (1),13.0,2.0,4.5,4.5,8.0,8.0,13.0,13.0,2.0,2.0
1639359163-1987,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/liquid-foundation/14175-stay-naked-weightless-liquid-foundation-up-to-24-hour-wear,Urban Decay,Stay Naked Weightless Liquid  Foundation - Up To 24-Hour Wear,Stay Naked Weightless Liquid  Foundation - Up To 24-Hour Wear,Rp 650.000,4.5,(26),26.0,Yes (18),No (1),Maybe (7),18.0,1.0,4.5,4.5,26.0,26.0,18.0,18.0,1.0,1.0
1639359515-2040,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/compact-powder/3781-exclusive-two-way-cake-12gr,Wardah,Exclusive Two Way Cake - 12gr,Exclusive Two Way Cake - 12gr,Rp 90.500,4.4,"(1,4k)",1285.0,Yes (844),No (174),Maybe (365),844.0,174.0,4.4,4.4,1285.0,228.0,844.0,115.0,174.0,17.0
1639358756-1922,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/compact-powder/3222-poudre-silk-edition,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358664-1906,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/setting-spray/16841-dreamsetter-glowy-setting-spray,Studio Tropik,Dreamsetter Glowy Setting Spray,Dreamsetter Glowy Setting Spray,Rp 64.900Rp 59.059,4.5,(306),278.0,Yes (230),No (20),Maybe (56),230.0,20.0,4.5,4.5,278.0,228.0,230.0,115.0,20.0,17.0
1639359593-2052,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/liquid-foundation/16350-luminous-moisturizing-foundation,NOTE COSMETICS,Luminous Moisturizing Foundation,Luminous Moisturizing Foundation,Rp 119.000Rp 77.350,4.3,(22),19.0,Yes (10),No (2),Maybe (10),10.0,2.0,4.3,4.3,19.0,19.0,10.0,10.0,2.0,2.0
1639360476-2170,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/cake-foundation/54067-hydrastay-lite-glow-cushion,Make Over,Hydrastay Lite Glow Cushion,Hydrastay Lite Glow Cushion,Rp 215.000,4.6,(373),331.0,Yes (294),No (11),Maybe (68),294.0,11.0,4.6,4.6,331.0,228.0,294.0,115.0,11.0,11.0
1639359102-1978,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/loose-powder/16383-no-sebum-mineral-powder,Silkygirl,No Sebum Mineral Powder,No Sebum Mineral Powder,Rp 75.000,4.0,(19),13.0,Yes (8),No (3),Maybe (8),8.0,3.0,4.0,4.2,13.0,13.0,8.0,8.0,3.0,3.0
1639359299-2010,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/blush/53916-the-simplicity-flush-blush,YOU Makeups,The Simplicity Flush Blush,The Simplicity Flush Blush,Rp 49.000Rp 41.650,4.6,(47),41.0,Yes (28),No (1),Maybe (18),28.0,1.0,4.6,4.6,41.0,41.0,28.0,28.0,1.0,1.0
1639360225-2134,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/concealer/60977-serum-concealer,Dear Me Beauty,Serum Concealer,Serum Concealer,Rp 129.000,4.5,(8),7.0,Yes (5),No (0),Maybe (3),5.0,0.0,4.5,4.5,7.0,7.0,5.0,5.0,0.0,0.0
1639358520-1882,https://www.sociolla.com/146-face?page=22,,https://www.sociolla.com/cake-foundation/17107-cf-cushion,Lagom,CF Cushion,CF Cushion,Rp 510.000Rp 280.500,3.9,(2),1.0,Yes (0),No (0),Maybe (2),0.0,0.0,3.9,4.2,1.0,2.0,0.0,1.0,0.0,0.0
1639359541-2044,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/cake-foundation/26303-luminous-pearl-bb-cushion,Erha,Luminous Pearl BB Cushion,Luminous Pearl BB Cushion,Rp 198.000Rp 174.240,4.5,(26),17.0,Yes (20),No (2),Maybe (4),20.0,2.0,4.5,4.5,17.0,17.0,20.0,20.0,2.0,2.0
1639359210-1995,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/cake-foundation/9391-two-way-cake-foundation,Mineral Botanica,Two Way Cake Foundation,Two Way Cake Foundation,Rp 75.900Rp 53.130,4.6,(50),37.0,Yes (31),No (2),Maybe (17),31.0,2.0,4.6,4.6,37.0,37.0,31.0,31.0,2.0,2.0
1639360182-2128,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/makeup/58346-loreal-loreal-paris-x-aeris-bundle-2,Loreal Paris,Loreal Paris x Aeris Bundle 2,Loreal Paris x Aeris Bundle 2,Rp 429.000Rp 257.400,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639360388-2157,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/liquid-foundation/28486-synchro-skin-self-refreshing-liquid-foundation,Shiseido,Synchro Skin Self-Refreshing Liquid Foundation,Synchro Skin Self-Refreshing Liquid Foundation,Rp 700.000Rp 350.000 - Rp 700.000,4.8,(2),2.0,Yes (1),No (1),Maybe (0),1.0,1.0,4.8,4.6,2.0,2.0,1.0,1.0,1.0,1.0
1639360043-2109,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/cake-foundation/61116-bare-cushion,Guele Cosmetics,Bare Cushion,Bare Cushion,Rp 179.000,4.8,(6),5.0,Yes (6),No (0),Maybe (0),6.0,0.0,4.8,4.6,5.0,5.0,6.0,6.0,0.0,0.0
1639360404-2160,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/cake-foundation/47680-blue-pearlsation-high-coverage-marine-collagen-aqua-cushion-spf50-pa,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358814-1932,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/bb-cc-cream/15928-sekkisei-white-bb-cream,KOSE,Sekkisei White BB Cream,Sekkisei White BB Cream,Rp 409.000,4.8,(8),8.0,Yes (7),No (0),Maybe (1),7.0,0.0,4.8,4.6,8.0,8.0,7.0,7.0,0.0,0.0
1639360065-2113,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/loose-powder/9298-face-powder,BLP Beauty,Face Powder,Face Powder,Rp 149.000,,,,"Yes (1,5k)",No (64),Maybe (301),1.0,64.0,4.462214983713356,4.5,213.94193548387096,21.5,1.0,1.0,64.0,17.0
1639359108-1979,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/blush/58263-juicy-mood-blusher,Nacific,Juicy Mood Blusher,Juicy Mood Blusher,Rp 120.000Rp 84.000,4.6,(28),16.0,Yes (20),No (3),Maybe (5),20.0,3.0,4.6,4.6,16.0,16.0,20.0,20.0,3.0,3.0
1639358840-1937,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/concealer/699-concealer-healthy-mix-,Bourjois,Healthy Mix Relaunch 17 Concealer,Healthy Mix Relaunch 17 Concealer,Rp 176.000,4.3,(12),6.0,Yes (6),No (3),Maybe (3),6.0,3.0,4.3,4.3,6.0,6.0,6.0,6.0,3.0,3.0
1639358894-1946,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/bb-cc-cream/58291-lng-neo-cushion-glow-no-23n-sand-ol21,Laneige,LNG Neo Cushion-Glow No.23N Sand (OL21),LNG Neo Cushion-Glow No.23N Sand (OL21),Rp 751.000Rp 600.800,4.4,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,4.4,4.4,1.0,2.0,1.0,1.0,0.0,0.0
1639359174-1989,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/bb-cc-cream/10085-instaperfect-mineralight-matte-bb-cushion,Wardah,Instaperfect MINERALIGHT MATTE BB Cushion,Instaperfect MINERALIGHT MATTE BB Cushion,Rp 177.000Rp 159.300,4.4,(468),428.0,Yes (293),No (40),Maybe (135),293.0,40.0,4.4,4.4,428.0,228.0,293.0,115.0,40.0,17.0
1639359180-1990,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/face-primer/13146-velvet-skin-coat,DHC,Velvet Skin Coat,Velvet Skin Coat,Rp 299.000Rp 209.300,4.5,(11),9.0,Yes (5),No (0),Maybe (6),5.0,0.0,4.5,4.5,9.0,9.0,5.0,5.0,0.0,0.0
1639360254-2138,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/concealer/25118-got-you-covered,Madame Gie,Got You Covered Concealer,Got You Covered Concealer,Rp 41.800Rp 27.170,4.2,(125),88.0,Yes (58),No (30),Maybe (37),58.0,30.0,4.2,4.2,88.0,88.0,58.0,58.0,30.0,17.0
1639359781-2078,https://www.sociolla.com/146-face?page=9,,https://www.sociolla.com/face-primer/47788-start-up-pore-primer,A'pieu,Start Up Pore Primer,Start Up Pore Primer,Rp 189.000Rp 122.850,4.4,(6),4.0,Yes (3),No (0),Maybe (3),3.0,0.0,4.4,4.4,4.0,4.0,3.0,3.0,0.0,0.0
1639359684-2063,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/face-primer/16353-skin-perfecting-illuminator,NOTE COSMETICS,Skin Perfecting Illuminator,Skin Perfecting Illuminator,Rp 139.000Rp 90.350,4.7,(5),4.0,Yes (4),No (0),Maybe (1),4.0,0.0,4.7,4.6,4.0,4.0,4.0,4.0,0.0,0.0
1639358881-1944,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/blush/7660-sugarbomb-blush-powder,Benefit Cosmetics,Sugarbomb Blush Powder,Sugarbomb Blush Powder,Rp 290.000,4.3,(8),8.0,Yes (5),No (0),Maybe (3),5.0,0.0,4.3,4.3,8.0,8.0,5.0,5.0,0.0,0.0
1639359311-2012,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/foundation/14888-new-fit-me-dewy-smooth-foundation-with-pump,Maybelline,NEW Fit Me! Dewy Smooth Foundation with Pump,NEW Fit Me! Dewy Smooth Foundation with Pump,Rp 155.000,4.5,(245),228.0,Yes (173),No (16),Maybe (56),173.0,16.0,4.5,4.5,228.0,228.0,173.0,115.0,16.0,16.0
1639359547-2045,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/cake-foundation/14143-facefinity-compact-powder-foundation,Max Factor,Facefinity Compact Powder Foundation,Facefinity Compact Powder Foundation,Rp 255.000,4.4,(7),6.0,Yes (4),No (0),Maybe (3),4.0,0.0,4.4,4.4,6.0,6.0,4.0,4.0,0.0,0.0
1639359215-1996,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/face-primer/58080-instant-pore-fix-primer,Silkygirl,Instant Pore Fix Primer,Instant Pore Fix Primer,Rp 95.000,5.0,(1),0.0,Yes (1),No (0),Maybe (0),1.0,0.0,5.0,4.6,0.0,2.0,1.0,1.0,0.0,0.0
1639359497-2037,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/highlighter/15267-dot-dot-glow-hydrating-highlighter,Mad For Makeup,Dot Dot Glow Hydrating Highlighter,Dot Dot Glow Hydrating Highlighter,Rp 99.000,4.4,(245),223.0,Yes (139),No (27),Maybe (79),139.0,27.0,4.4,4.4,223.0,223.0,139.0,115.0,27.0,17.0
1639358799-1930,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/concealer/58081-fix-it-liquid-concealer,Silkygirl,Fix It Liquid Concealer,Fix It Liquid Concealer,Rp 95.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359032-1967,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/liquid-foundation/59333-i-m-meme-pink-blur-tone-up-sun-base-40-ml,IMMEME,Pink Blur Tone-Up Sun Base,Pink Blur Tone-Up Sun Base,Rp 210.000Rp 105.000,4.5,(4),1.0,Yes (3),No (1),Maybe (0),3.0,1.0,4.5,4.5,1.0,2.0,3.0,3.0,1.0,1.0
1639359930-2097,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/compact-powder/10688-perfect-cover-two-way-cake-refill,Make Over,Perfect Cover Two Way Cake Refill,Perfect Cover Two Way Cake Refill,Rp 109.000,4.6,(152),129.0,Yes (123),No (7),Maybe (22),123.0,7.0,4.6,4.6,129.0,129.0,123.0,115.0,7.0,7.0
1639358424-1867,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/blush/59293-fouroscope-air-goddess,Benefit Cosmetics,Fouroscope Air Goddess,Fouroscope Air Goddess,Rp 630.000,5.0,(2),0.0,Yes (2),No (0),Maybe (0),2.0,0.0,5.0,4.6,0.0,2.0,2.0,2.0,0.0,0.0
1639359554-2046,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/cake-foundation/47645-moon-glow,Rabbit Habit,Moon Glow,Moon Glow,Rp 289.000,4.5,(23),22.0,Yes (16),No (2),Maybe (5),16.0,2.0,4.5,4.5,22.0,22.0,16.0,16.0,2.0,2.0
1639360373-2155,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/cake-foundation/54876-cover-cushion,BLP Beauty,Cover Cushion,Cover Cushion,Rp 189.000,4.6,(249),196.0,Yes (164),No (15),Maybe (70),164.0,15.0,4.6,4.6,196.0,196.0,164.0,115.0,15.0,15.0
1639360125-2120,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/setting-spray/14375-dreamsetter-setting-spray,Studio Tropik,Dreamsetter Setting Spray,Dreamsetter Setting Spray,Rp 64.900 - Rp 192.500Rp 59.059 - Rp 175.175,4.6,(504),464.0,Yes (401),No (13),Maybe (90),401.0,13.0,4.6,4.6,464.0,228.0,401.0,115.0,13.0,13.0
1639359678-2062,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/compact-powder/3382-everyday-luminous-compact-powder,Wardah,Everyday Luminous Compact Powder,Everyday Luminous Compact Powder,Rp 43.000,4.2,"(1,2k)",1081.0,Yes (556),No (271),Maybe (411),556.0,271.0,4.2,4.2,1081.0,228.0,556.0,115.0,271.0,17.0
1639359439-2028,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/liquid-foundation/54777-max-factor-miracle-touch-skin-perfecting-foundation,Max Factor,Miracle Touch Skin Perfecting Foundation,Miracle Touch Skin Perfecting Foundation,Rp 235.000,4.6,(2),2.0,Yes (0),No (0),Maybe (2),0.0,0.0,4.6,4.6,2.0,2.0,0.0,1.0,0.0,0.0
1639358670-1907,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/loose-powder/5181-delicate-trans-face-powder-w-moist-43-g,Ultima II,Delicate Trans Face Powder w/Moist 43 g,Delicate Trans Face Powder w/Moist 43 g,Rp 190.000Rp 123.500,4.4,(369),351.0,Yes (260),No (29),Maybe (80),260.0,29.0,4.4,4.4,351.0,228.0,260.0,115.0,29.0,17.0
1639359827-2083,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/liquid-foundation/47691-urban-pearlsation-multi-use-fitting-pact-spf30-pa,Klavuu,URBAN PEARLSATION Multi Use Fitting Pact SPF30 PA++,URBAN PEARLSATION Multi Use Fitting Pact SPF30 PA++,Rp 399.000Rp 299.250,4.4,(2),1.0,Yes (1),No (0),Maybe (1),1.0,0.0,4.4,4.4,1.0,2.0,1.0,1.0,0.0,0.0
1639359245-2001,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/loose-powder/9354-esme-df-true-matte-normal-skin-types,Erha,Esme Df True Matte Normal Skin Types,Esme Df True Matte Normal Skin Types,Rp 111.100Rp 97.768,4.2,(12),12.0,Yes (7),No (0),Maybe (5),7.0,0.0,4.2,4.2,12.0,12.0,7.0,7.0,0.0,0.0
1639358695-1911,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/liquid-foundation/25881-foundation-air-mat,Bourjois,Foundation Air Mat,Foundation Air Mat,Rp 300.000,4.3,(5),5.0,Yes (3),No (1),Maybe (1),3.0,1.0,4.3,4.3,5.0,5.0,3.0,3.0,1.0,1.0
1639360086-2115,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/loose-powder/9351-esme-df-true-matte-all-skin-types,Erha,Esme Df True Matte All Skin Types,Esme Df True Matte All Skin Types,Rp 111.100Rp 97.768,4.5,(30),28.0,Yes (20),No (0),Maybe (10),20.0,0.0,4.5,4.5,28.0,28.0,20.0,20.0,0.0,0.0
1639358750-1921,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/compact-powder/25847-air-mat-rouge-press-powder,Bourjois,Air Mat Rouge Press Powder,Air Mat Rouge Press Powder,Rp 267.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358701-1912,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/bb-cc-cream/11072-fair-melody-bb-cream,Moko Moko,Fair Melody BB Cream,Fair Melody BB Cream,Rp 75.000,4.2,(201),185.0,Yes (89),No (34),Maybe (78),89.0,34.0,4.2,4.2,185.0,185.0,89.0,89.0,34.0,17.0
1639358353-1857,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/cake-foundation/5213-fresh-mat-bb-cushion,Maybelline,Maybelline Fresh Mat BB Cushion Foundation,Maybelline Fresh Mat BB Cushion Foundation,,4.2,(654),578.0,Yes (327),No (121),Maybe (206),327.0,121.0,4.2,4.2,578.0,228.0,327.0,115.0,121.0,17.0
1639358797-1929,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/liquid-foundation/38691-total-effects-7-in-one-day-cream-touch-of-foundation-spf-15,Olay,Total Effects 7 in One Day Cream Touch of Foundation SPF 15,Total Effects 7 in One Day Cream Touch of Foundation SPF 15,Rp 149.900Rp 127.415,4.0,(107),86.0,Yes (48),No (29),Maybe (30),48.0,29.0,4.0,4.2,86.0,86.0,48.0,48.0,29.0,17.0
1639359384-2021,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/cake-foundation/56482-crystallure-precious-luminizing-silk-powder-foundation,Wardah,Crystallure Precious Luminizing Silk Powder Foundation,Crystallure Precious Luminizing Silk Powder Foundation,Rp 188.000,4.7,(7),7.0,Yes (4),No (0),Maybe (3),4.0,0.0,4.7,4.6,7.0,7.0,4.0,4.0,0.0,0.0
1639359292-2009,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/blush/47762-heart-on-the-cheek,A'pieu,Heart On The Cheek,Heart On The Cheek,Rp 159.000Rp 103.350,4.4,(14),8.0,Yes (7),No (2),Maybe (5),7.0,2.0,4.4,4.4,8.0,8.0,7.0,7.0,2.0,2.0
1639359139-1984,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/cake-foundation/10601-shinning-two-way-cake,RIVERA,Shinning Two Way Cake,Shinning Two Way Cake,Rp 111.600,4.3,(8),7.0,Yes (4),No (2),Maybe (2),4.0,2.0,4.3,4.3,7.0,7.0,4.0,4.0,2.0,2.0
1639360189-2129,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/pressed-powder/26150-holy-perfecting-pressed-powder,Looke Cosmetics,Holy Perfecting Pressed Powder,Holy Perfecting Pressed Powder,Rp 192.500,4.5,(114),96.0,Yes (88),No (7),Maybe (19),88.0,7.0,4.5,4.5,96.0,96.0,88.0,88.0,7.0,7.0
1639359566-2048,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/bronzer/16359-bronzing-powder,NOTE COSMETICS,Bronzing Powder,Bronzing Powder,Rp 169.000Rp 109.850,4.8,(1),1.0,Yes (0),No (0),Maybe (1),0.0,0.0,4.8,4.6,1.0,2.0,0.0,1.0,0.0,0.0
1639360080-2114,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/liquid-foundation/27677-uv-whitening-stay-last-serum-foundation,Pixy,UV Whitening Stay Last Serum Foundation,UV Whitening Stay Last Serum Foundation,Rp 65.000,4.6,(639),553.0,Yes (482),No (30),Maybe (127),482.0,30.0,4.6,4.6,553.0,228.0,482.0,115.0,30.0,17.0
1639359646-2057,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/compact-powder/10710-everyday-luminous-two-way-cake,Wardah,Everyday Luminous Two Way Cake,Everyday Luminous Two Way Cake,Rp 49.500,4.5,(525),478.0,Yes (356),No (47),Maybe (122),356.0,47.0,4.5,4.5,478.0,228.0,356.0,115.0,47.0,17.0
1639358861-1940,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/bb-cc-cream/58292-lng-neo-cushion-matte-no-25n-tan-ol21,Laneige,LNG Neo Cushion-Matte No.25N Tan (OL21),LNG Neo Cushion-Matte No.25N Tan (OL21),Rp 751.000Rp 472.000,3.2,(1),0.0,Yes (0),No (1),Maybe (0),0.0,1.0,3.2,4.2,0.0,2.0,0.0,1.0,1.0,1.0
1639360490-2172,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/compact-powder/60737-infallible-oil-killer-high-coverage-powder-natural-matte-and-24-jam-oil-control,Loreal Paris,Infallible Oil Killer High Coverage Powder (Natural Matte & 24 Jam Oil Control),Infallible Oil Killer High Coverage Powder (Natural Matte & 24 Jam Oil Control),Rp 150.000Rp 115.500,4.9,(71),65.0,Yes (69),No (0),Maybe (2),69.0,0.0,4.9,4.6,65.0,65.0,69.0,69.0,0.0,0.0
1639359521-2041,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/cake-foundation/13755-hello-happy-velvet-powder,Benefit Cosmetics,Hello Happy Velvet Powder,Hello Happy Velvet Powder,Rp 530.000,4.3,(9),7.0,Yes (5),No (2),Maybe (2),5.0,2.0,4.3,4.3,7.0,7.0,5.0,5.0,2.0,2.0
1639360309-2146,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/blush/55069-cheektopia,Benefit Cosmetics,Cheektopia,Cheektopia,Rp 560.000,4.7,(4),3.0,Yes (3),No (0),Maybe (1),3.0,0.0,4.7,4.6,3.0,3.0,3.0,3.0,0.0,0.0
1639358455-1871,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/cake-foundation/58048-holy-flawless-bb-cushion-special-vol-2,Looke Cosmetics,Holy Flawless BB Cushion Special Vol 2,Holy Flawless BB Cushion Special Vol 2,Rp 247.500,4.6,(62),54.0,Yes (49),No (1),Maybe (12),49.0,1.0,4.6,4.6,54.0,54.0,49.0,49.0,1.0,1.0
1639358508-1880,https://www.sociolla.com/146-face?page=22,,https://www.sociolla.com/cake-foundation/12626-two-way-cake-natural-white,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359133-1983,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/loose-powder/16879-loose-powder,PAC,Loose Powder,Loose Powder,Rp 219.500,4.8,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,4.8,4.6,1.0,2.0,1.0,1.0,0.0,0.0
1639360199-2130,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/bb-cc-cream/58289-lng-neo-cushion-matte-no-23n-sand-ol21,Laneige,LNG Neo Cushion-Matte No.23N Sand(OL21),LNG Neo Cushion-Matte No.23N Sand(OL21),Rp 751.000Rp 472.000,5.0,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,5.0,4.6,1.0,2.0,1.0,1.0,0.0,0.0
1639359870-2089,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/loose-powder/55032-lng-light-fit-powder-ol21,Laneige,LNG Light Fit Powder (OL21),LNG Light Fit Powder (OL21),Rp 646.000Rp 393.750,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359347-2017,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/highlighter/9652-riche-glow-face-highlighter,Make Over,Riche Glow Face Highlighter,Riche Glow Face Highlighter,Rp 165.000,4.5,(544),523.0,Yes (360),No (45),Maybe (139),360.0,45.0,4.5,4.5,523.0,228.0,360.0,115.0,45.0,17.0
1639359903-2093,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/loose-powder/13931-bright-stuff-loose-powder,Emina,Bright Stuff Loose Powder,Bright Stuff Loose Powder,Rp 22.500,4.5,"(1,8k)",1669.0,"Yes (1,3k)",No (96),Maybe (432),1.0,96.0,4.5,4.5,1669.0,228.0,1.0,1.0,96.0,17.0
1639358900-1947,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/cake-foundation/53886-refill-dream-skin-perfect-cushion,YOU Makeups,Refill Dream Skin Perfect Cushion,Refill Dream Skin Perfect Cushion,Rp 132.000Rp 112.200,4.2,(2),1.0,Yes (1),No (1),Maybe (0),1.0,1.0,4.2,4.2,1.0,2.0,1.0,1.0,1.0,1.0
