web-scraper-order,web-scraper-start-url,link,link-href,brand,product_name,category,price,rating,number_of_reviews,number_of_recommendations,repurchase_yes,repurchase_no,repurchase_maybe,repurchase_yes_num,repurchase_no_num,rating_imputed_mean,rating_imputed_median,number_of_recommendations_imputed_mean,number_of_recommendations_imputed_median,repurchase_yes_num_imputed_mean,repurchase_yes_num_imputed_median,repurchase_no_num_imputed_mean,repurchase_no_num_imputed_median
1639358867-1941,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/compact-powder/23715-saemmul-perfect-pore-pact,the saem,Saemmul Perfect Pore Pact,Saemmul Perfect Pore Pact,Rp 199.000,4.5,(2),2.0,Yes (2),No (0),Maybe (0),2.0,0.0,4.5,4.5,2.0,2.0,2.0,2.0,0.0,0.0
1639358529-1884,https://www.sociolla.com/146-face?page=22,,https://www.sociolla.com/face-primer/28782-waso-poreless-matte-primer,Shiseido,Waso Poreless Matte Primer,Waso Poreless Matte Primer,Rp 430.000Rp 215.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639360366-2154,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/loose-powder/10134-loose-powder,Focallure,Loose Powder,Loose Powder,Rp 89.000Rp 49.840,4.4,(454),415.0,Yes (270),No (56),Maybe (128),270.0,56.0,4.4,4.4,415.0,228.0,270.0,115.0,56.0,17.0
1639359073-1973,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/liquid-foundation/11542-air-fluid-foundation,Focallure,Air Fluid Foundation,Air Fluid Foundation,Rp 198.000Rp 126.720,4.5,(12),7.0,Yes (7),No (1),Maybe (4),7.0,1.0,4.5,4.5,7.0,7.0,7.0,7.0,1.0,1.0
1639359721-2068,https://www.sociolla.com/146-face?page=9,,https://www.sociolla.com/loose-powder/61100-noutriwear-airy-fit-loose-powder,YOU Makeups,NoutriWear+ Airy Fit Loose Powder,NoutriWear+ Airy Fit Loose Powder,Rp 69.500Rp 59.075,4.8,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,4.8,4.6,1.0,2.0,1.0,1.0,0.0,0.0
1639358974-1958,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/compact-powder/13917-pro-face-powder,LA GIRL,Pro Face Powder,Pro Face Powder,Rp 179.000Rp 125.300,4.2,(15),14.0,Yes (7),No (3),Maybe (5),7.0,3.0,4.2,4.2,14.0,14.0,7.0,7.0,3.0,3.0
1639358255-1844,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/highlighter/10793-gleamed-fluid-strobe,Rollover Reaction,Gleamed Fluid Strobe,Gleamed Fluid Strobe,Rp 149.000,3.9,(37),27.0,Yes (10),No (16),Maybe (11),10.0,16.0,3.9,4.2,27.0,27.0,10.0,10.0,16.0,16.0
1639359083-1975,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/loose-powder/24877-no-pore-blur-powder,Silkygirl,No Pore Blur Powder - Blossom Collection,No Pore Blur Powder - Blossom Collection,Rp 62.000Rp 37.200,3.7,(2),2.0,Yes (1),No (0),Maybe (1),1.0,0.0,3.7,4.2,2.0,2.0,1.0,1.0,0.0,0.0
1639360320-2148,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/bronzer/25004-sunkissed-matte-bronzing-powder,Goban,Sunkissed Matte Bronzing Powder,Sunkissed Matte Bronzing Powder,Rp 130.000Rp 71.500,4.5,(295),284.0,Yes (171),No (23),Maybe (101),171.0,23.0,4.5,4.5,284.0,228.0,171.0,115.0,23.0,17.0
1639358433-1868,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/compact-powder/53869-the-simplicity-flawless-skin-compact-powder,YOU Makeups,The Simplicity Flawless Skin Compact Powder,The Simplicity Flawless Skin Compact Powder,Rp 55.000Rp 46.750,4.4,(22),17.0,Yes (12),No (1),Maybe (9),12.0,1.0,4.4,4.4,17.0,17.0,12.0,12.0,1.0,1.0
1639359740-2071,https://www.sociolla.com/146-face?page=9,,https://www.sociolla.com/loose-powder/9352-esme-df-true-matte-oily-skin-types,Erha,Esme Df True Matte Oily Skin Types,Esme Df True Matte Oily Skin Types,Rp 111.100Rp 97.768,4.3,(72),68.0,Yes (51),No (5),Maybe (16),51.0,5.0,4.3,4.3,68.0,68.0,51.0,51.0,5.0,5.0
1639359060-1971,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/compact-powder/16883-twc,PAC,Twc PAC,Twc PAC,Rp 224.100,4.3,(15),14.0,Yes (7),No (4),Maybe (4),7.0,4.0,4.3,4.3,14.0,14.0,7.0,7.0,4.0,4.0
1639360312-2147,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/setting-spray/61106-dazzling-tone-up-spray,YOU Makeups,Dazzling Tone Up Spray,Dazzling Tone Up Spray,Rp 99.000Rp 84.150,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
